# Trial 8: ath=0.0178  hd=200  reg=3.75e-03  a=0.0731  c=0.0978  L=13  best_er=0.5769
iter,loss,error_rate
1,4.181053607590585,0.8846153846153846
2,4.019669814896555,0.8846153846153846
3,4.103208488057381,0.8846153846153846
4,3.9014415426750824,0.8846153846153846
5,3.9978319372204467,0.9230769230769231
6,3.6326233878779144,0.9230769230769231
7,3.9881642250663063,0.8846153846153846
8,3.8374068260948837,0.8461538461538461
9,3.353269935716542,0.8461538461538461
10,3.6398440930013303,0.8461538461538461
11,3.7246370160254356,0.8076923076923077
12,3.3115807647719695,0.7692307692307693
13,3.5491362240241258,0.8076923076923077
14,3.4836866801143946,0.8461538461538461
15,2.9076911459312695,0.8076923076923077
16,3.121569783149085,0.7692307692307693
17,3.0455227416660806,0.7692307692307693
18,3.044000663738892,0.7307692307692307
19,3.094960940415645,0.8076923076923077
20,3.0242972947728273,0.7692307692307693
21,3.253692006682297,0.8076923076923077
22,2.8074982464491702,0.7692307692307693
23,3.158445655872728,0.8461538461538461
24,2.8203358559342333,0.7307692307692307
25,2.739688429484203,0.8076923076923077
26,2.9894266224992956,0.8461538461538461
27,2.8573687734155255,0.8076923076923077
28,2.8719815229467436,0.8461538461538461
29,2.4842196154723144,0.8076923076923077
30,2.712289729509039,0.8461538461538461
31,2.6498156002568654,0.7307692307692307
32,2.772255768913911,0.8461538461538461
33,2.541144078073926,0.8846153846153846
34,2.8015819204459778,0.7692307692307693
35,2.5689476263819753,0.7307692307692307
36,2.8254881544366475,0.8461538461538461
37,2.677717491814548,0.8076923076923077
38,2.7267844702643234,0.7692307692307693
39,2.6313066337960906,0.7307692307692307
40,2.6646016766519747,0.8461538461538461
41,2.683902945829039,0.7692307692307693
42,2.4859933264021508,0.8076923076923077
43,2.758402954719978,0.6538461538461539
44,2.6958539293948265,0.7307692307692307
45,2.5516931745091953,0.7692307692307693
46,2.4946621577777437,0.6923076923076923
47,2.3997986805247833,0.6923076923076923
48,2.4039819603222665,0.7307692307692307
49,2.3267326876546854,0.6538461538461539
50,2.221439412450077,0.7307692307692307
51,2.3426937989613164,0.6153846153846154
52,2.1349169201409044,0.6923076923076923
53,2.2409060775410103,0.6538461538461539
54,2.386766195924732,0.6923076923076923
55,2.0925524341728847,0.6538461538461539
56,2.3627991655550247,0.6538461538461539
57,2.309098316569802,0.6923076923076923
58,2.143803792243992,0.7307692307692307
59,2.1506265903270894,0.7692307692307693
60,2.5061982502895956,0.6923076923076923
61,2.052521843728618,0.7307692307692307
62,2.1521913631231904,0.6538461538461539
63,2.354135134890367,0.6538461538461539
64,2.126556139603546,0.6153846153846154
65,2.1617147646677948,0.6923076923076923
66,2.0595673186225887,0.6538461538461539
67,2.1722211297408043,0.7307692307692307
68,2.3236886040126006,0.6153846153846154
69,2.1891572362560483,0.6538461538461539
70,2.2163044749610257,0.5769230769230769
