epoch,loss,cosine_delta
255,20.577883,0.907721
256,7.964383,0.909728
257,3.859598,0.909808
258,4.271174,0.909031
259,21.771044,0.909660
260,3.887025,0.906863
261,10.537281,0.907040
262,6.595248,0.908342
263,15.136837,0.905482
264,9.381332,0.905655
265,7.398199,0.905474
266,10.586102,0.905097
267,10.629023,0.909880
268,10.310918,0.910994
269,0.000000,0.910994
270,8.011117,0.917655
271,11.642316,0.916500
272,29.388588,0.921102
273,22.529482,0.924251
274,3.929283,0.923628
275,14.910669,0.919452
276,0.000000,0.919452
277,20.660414,0.917021
278,3.110086,0.916752
279,3.798840,0.913781
280,11.971447,0.909898
281,3.286477,0.914887
282,12.175131,0.921684
283,10.117460,0.923261
284,9.545255,0.924170
285,5.824436,0.925570
286,3.285832,0.924893
287,4.464632,0.933105
288,3.880173,0.930645
289,4.567919,0.929459
290,7.030920,0.922765
291,18.615984,0.920682
292,4.548280,0.920703
293,8.333473,0.918076
294,8.054363,0.918737
295,4.021426,0.916552
296,13.176167,0.920589
297,11.456623,0.918696
298,0.000000,0.918696
299,15.632765,0.914954
300,9.958797,0.914399
301,6.415611,0.913707
302,18.987322,0.913663
303,7.933423,0.917263
304,4.013616,0.918607
305,6.832322,0.925099
306,12.153751,0.921762
307,0.000000,0.921762
308,4.520147,0.922051
309,6.758887,0.922581
310,4.008718,0.922937
311,12.438303,0.921442
312,23.900902,0.928054
313,0.000000,0.928054
314,0.000000,0.928054
315,3.124010,0.928637
316,18.236591,0.930251
317,7.091694,0.932466
318,10.690521,0.933699
319,3.707607,0.933335
320,7.151647,0.934292
321,0.000000,0.934292
322,0.000000,0.934292
323,4.006648,0.932921
324,8.146765,0.932617
325,0.000000,0.932617
326,3.927367,0.932277
327,12.472796,0.932018
328,3.580405,0.931616
329,3.944195,0.931840
330,2.762264,0.930705
331,3.106747,0.931899
332,13.507177,0.932220
333,4.571485,0.929453
334,8.722612,0.929211
335,7.100909,0.930206
336,4.722819,0.933053
337,18.794222,0.935066
338,14.894039,0.933661
339,33.680626,0.934799
340,14.394749,0.934167
341,9.347357,0.936014
342,4.175788,0.934519
343,3.570868,0.934378
344,0.000000,0.934378
345,7.730162,0.933374
346,8.727935,0.933728
347,3.940450,0.933315
348,0.000000,0.933315
349,3.194738,0.933577
350,6.780040,0.934295
351,3.563177,0.934132
352,3.674592,0.934476
353,4.168824,0.933222
354,0.000000,0.933222
355,7.652059,0.934385
356,13.558439,0.934301
357,15.573265,0.935128
358,0.000000,0.935128
359,4.060124,0.933442
360,0.000000,0.933442
361,15.991090,0.932592
362,14.614982,0.933765
363,3.227353,0.933914
364,10.545828,0.933196
365,0.000000,0.933196
366,4.047122,0.932343
367,3.579605,0.931272
368,17.080038,0.932217
369,7.626249,0.932833
370,6.120481,0.933093
371,14.870996,0.932807
372,3.654754,0.932961
373,3.263348,0.933480
374,4.248267,0.933786
375,3.893411,0.933970
376,5.809083,0.934271
377,11.504561,0.934790
378,19.478214,0.934086
379,7.623526,0.933705
380,3.641985,0.933690
381,7.821479,0.933980
382,0.000000,0.933980
383,21.516327,0.934704
384,11.890586,0.934986
385,16.284786,0.934798
386,0.000000,0.934798
387,7.187915,0.934733
388,10.673054,0.934609
389,11.777164,0.934698
390,8.266796,0.934777
391,10.645944,0.934872
392,4.053266,0.934983
393,3.361423,0.934990
394,20.596901,0.934755
395,10.135283,0.934586
396,7.796767,0.934551
397,15.307023,0.934404
398,3.563812,0.934458
399,3.451360,0.934452
400,6.987212,0.934480
