# Trial 2: ath=0.0300  reg=5.00e-04  hd=700  L=8  best_er=0.1538
iter,loss,error_rate
1,3.9760851683463794,0.7307692307692307
2,3.6928144370954223,0.6923076923076923
3,3.8314457352694773,0.6923076923076923
4,3.1699863594446063,0.7307692307692307
5,3.883585445248286,0.7692307692307693
6,4.182477493824905,0.7307692307692307
7,3.6958742225854415,0.6538461538461539
8,3.15654190354873,0.6153846153846154
9,4.120878832011756,0.6538461538461539
10,3.8576374926602424,0.7307692307692307
11,3.7223539881081216,0.5769230769230769
12,3.5991185432563655,0.6153846153846154
13,3.4786868704197462,0.6538461538461539
14,3.6994454981289127,0.5769230769230769
15,3.3542983513240325,0.6538461538461539
16,3.497863965182335,0.6923076923076923
17,3.7037538186035244,0.6153846153846154
18,3.629507038961833,0.6538461538461539
19,3.5272091200558107,0.6153846153846154
20,3.316542918938606,0.6153846153846154
21,3.4173149565798058,0.6153846153846154
22,3.2956012004495037,0.6153846153846154
23,2.8725654881041653,0.6538461538461539
24,3.3622489193292777,0.6538461538461539
25,3.300305047149077,0.6538461538461539
26,3.165054124382508,0.5769230769230769
27,3.212288187658501,0.6923076923076923
28,3.4036493237318504,0.5769230769230769
29,2.7390705130221793,0.6538461538461539
30,3.0794457037792218,0.6153846153846154
31,3.4581682274620498,0.6153846153846154
32,3.2464476885760623,0.6153846153846154
33,2.9434234518445113,0.5769230769230769
34,2.952498688254495,0.7307692307692307
35,3.3810250839943317,0.5769230769230769
36,3.2009376805862564,0.6923076923076923
37,3.394978813956989,0.6538461538461539
38,3.4751722556472973,0.6153846153846154
39,3.456562132314827,0.5769230769230769
40,3.468107384688598,0.6538461538461539
41,3.234267615093411,0.6153846153846154
42,2.8980866820651947,0.6538461538461539
43,2.7910724039022408,0.5384615384615384
44,2.7796996677080372,0.5769230769230769
45,3.057972894402425,0.6538461538461539
46,2.783817469863135,0.5769230769230769
47,3.3887149626372146,0.6153846153846154
48,3.1731270585540496,0.6153846153846154
49,2.7111960174395797,0.5769230769230769
50,2.9326977671289933,0.6153846153846154
51,2.590281212436606,0.6153846153846154
52,2.7134521247964503,0.5769230769230769
53,3.177164032369996,0.6153846153846154
54,2.4941583412082142,0.5384615384615384
55,3.0203853006217516,0.6923076923076923
56,2.8807102222848955,0.5769230769230769
57,2.7509792987355137,0.6538461538461539
58,2.4558645757937168,0.6538461538461539
59,3.0627546570951445,0.6153846153846154
60,2.900530228441746,0.5
61,2.5559198270516035,0.6153846153846154
62,2.9404338848244826,0.5384615384615384
