epoch,loss
1,3.536145395194566
2,3.2721915216270454
3,3.3692673550552774
4,3.358815730554029
5,3.584201836447018
6,3.395234943551758
7,4.052036369133552
8,4.17878070195814
9,3.130742784686836
10,2.9694730784304504
11,3.607611066515881
12,3.250671712789514
13,3.3032275250371597
14,2.982886346389016
15,2.663201764807101
16,2.590423966115906
17,2.9419735268413456
18,2.7025417285362305
19,2.907357897590506
20,2.5601777642737575
21,2.5017962283979456
22,2.3936617443663453
23,2.417501962588684
24,2.588805888899043
25,2.43841269245961
26,2.4997408289396184
27,2.5947201717789996
28,2.4047118538344803
29,2.322070601559334
30,2.656512395534396
31,2.6872158769857224
32,2.7792567512383863
33,2.5994437321728805
34,2.2392603902362223
35,2.1708060979329096
36,2.162076096967507
37,2.2806264598065207
38,2.40928505310977
39,2.2786009974947845
40,2.1796653549915375
41,2.2080517885128654
42,2.0686571626558776
43,2.212163114837509
44,2.0943091047734628
45,1.9826923542399475
46,2.0708692403480935
47,2.0895192472388935
48,2.2164176954249424
49,2.070574238878641
50,2.174168527293041
51,2.0941398762464525
52,1.911991439364306
53,2.1235430451926582
54,1.8359108458563984
55,1.8873084856433948
56,2.0868184563210237
57,2.0684570292126767
58,2.037041341741938
59,1.8801761359152478
60,1.8089790431115889
61,1.6949976855824866
62,1.8395347633445764
63,1.6501235480280911
64,1.8305262596276834
65,1.7110517810664234
66,1.6487461185283392
67,1.803759774121021
68,1.7748480925693102
69,1.6239358987272814
70,1.7058029283347844
71,1.7834197666688447
72,1.7908479100330401
73,1.7829092836391398
74,1.7588656300577803
75,1.7143190249143017
76,1.7152551512984062
77,1.6951744079410194
78,1.6295217899492913
79,1.6672173348708839
80,1.630060947286922
81,1.8928839887562803
82,1.7675854059894467
83,1.8612201447115726
84,1.7898577826148734
85,1.9858135148969538
86,1.8710407880638067
87,1.7524168842582544
88,1.8211585785574573
89,1.755907816465016
90,1.7922156485756249
91,1.7502435841681037
92,1.7653214331961529
93,1.8159331272813595
94,1.9900290591459406
95,1.9531155576344903
96,1.9637177915512138
97,1.9217413079139714
98,1.991600772623801
99,1.8502648669149724
100,1.8185098773022599
101,1.949637713266208
102,1.8130042838946407
103,1.8152451395924376
104,1.8838102711526492
105,1.6866606602529814
106,1.9395831896231708
107,1.8950697629546283
108,1.8741700231784222
109,1.753310557440877
110,1.781429213370449
111,1.8806979757958624
112,1.9135808210800342
113,1.7676322549880283
114,1.9072286430046028
115,1.8959917327252658
116,1.9240420504427558
117,1.8349071176481133
118,1.9200938495458977
119,1.8410094230229501
120,1.7845484786093477
121,1.6676297944513152
122,1.789386990512386
123,1.736771844778144
124,1.4725469203065908
125,1.6076165009932692
126,1.6202384789959257
127,1.5555501869253958
128,1.711861583645324
129,1.6599944174483632
130,1.6184214595640611
131,1.675959966075883
132,1.5664284294695277
133,1.4774613748475538
134,1.4798446252081492
135,1.6078935498864317
136,1.4788787632840577
137,1.55221463353928
138,1.4684388971716693
139,1.5200411509250946
140,1.5153490432364989
141,1.5374849567976336
142,1.5403045460019351
143,1.5105978416553367
144,1.5399064581226476
145,1.4107221570938235
146,1.4196844869908625
147,1.6735499566477587
148,1.5537534549441414
149,1.424233015561431
150,1.5196520768602935
151,1.515522683681291
152,1.3816166367697775
153,1.405121664525188
154,1.4035748295912236
155,1.4629712319822539
156,1.4350208991451474
157,1.413096321408943
158,1.5426579167219132
159,1.4941491589734603
160,1.4311282336556395
161,1.3910100262842464
162,1.4688907277658325
163,1.4939860600243176
164,1.402489618486591
165,1.3588922356113966
166,1.4114401435098087
167,1.3270177863635406
168,1.490575963428404
169,1.1982533029107283
170,1.2031426361941562
171,1.2544552177582973
172,1.22359655080027
173,1.152027593170958
174,1.2756597214982648
175,1.2234719474213538
176,1.1355843748018697
177,1.128892649163324
178,1.1457983215617569
179,1.2434447539049192
180,1.1461219928920556
181,1.1957662752686402
182,1.249301539308139
183,1.253524891718834
184,1.098438037119247
185,1.1555384645058657
186,1.0970564919970531
187,1.0913181238112855
188,1.0439220659827657
189,0.9813952700360193
190,1.1025775537462854
191,1.0864648340439036
192,1.0139777799249554
193,0.9864708778793077
194,1.002049861924907
195,0.989604649870913
196,0.927586271074198
197,0.9366603572881842
198,0.9061230510331297
199,0.8415476807256108
200,0.9851325282280365
201,0.8802820261955566
202,0.9930112690714679
203,0.967166682532429
204,0.9339625975583843
205,0.843005378809949
206,0.7898371866716611
207,0.8850768083675455
208,0.8044784398714153
209,0.8334505771956797
210,0.7700534864365616
211,0.7104694110148202
212,0.8296317536280271
213,0.7715051917999411
214,0.9145506184821692
215,0.8211913523273773
216,0.8541313418458301
217,0.7112753481892331
218,0.7066472304215643
219,0.8251548351896063
