epoch,loss
1,6.346973
10,8.408792
20,0.0
30,0.0
40,8.210745
50,7.755071
60,7.606978
70,7.293036
80,12.423870
90,5.854595
100,0.0
110,0.0
120,4.976073
130,0.0
140,0.0
150,4.701140
160,0.0
170,0.0
180,5.392096
190,9.479180
200,5.944611
210,9.576004
220,0.0
230,9.411211
240,8.892684
250,0.0
260,0.0
270,3.269795
280,0.0
290,4.963377
300,4.773730
310,12.045959
320,0.0
330,0.0
340,0.0
350,3.267743
360,0.0
370,11.820934
380,0.0
390,0.0
400,4.397979
410,0.0
420,6.072989
430,0.0
440,4.574952
450,0.0
460,0.0
470,5.248055
480,0.0
490,0.0
500,6.164000
510,0.0
520,17.305799
530,0.0
540,4.502546
550,5.955425
560,3.960258
570,0.0
580,0.0
590,0.0
600,0.0
610,0.0
620,5.203356
630,0.0
640,7.693314
650,0.0
660,0.0
670,13.269565
680,2.006859
690,0.0
700,0.0
710,6.356754
720,0.0
730,0.0
740,4.763671
750,6.387418
760,0.0
770,8.405088
780,6.504393
790,6.228697
800,8.675839
810,13.990200
820,9.466457
830,4.038328
840,4.586882
850,4.975558
860,13.516484
870,0.0
880,2.481919
890,9.567444
