epoch,loss
10,8.408787
40,8.210724
50,7.755096
60,7.606995
70,7.293060
80,12.423828
90,5.854645
120,4.976074
150,4.701050
180,5.392151
190,9.478943
200,5.944641
210,9.575989
230,9.411133
240,8.892700
270,3.269775
290,4.963318
300,4.773804
310,12.045776
350,3.267822
370,11.820923
400,4.397949
420,6.072998
440,4.574951
470,5.247925
500,6.163940
520,17.305786
540,4.502441
550,5.955444
560,3.960083
620,5.203369
640,7.693237
670,13.269409
680,2.006592
710,6.357178
740,4.763428
750,6.387451
770,8.405273
780,6.504395
790,6.228760
800,8.675781
810,13.991211
820,9.466553
830,4.038330
840,4.586914
850,4.975586
860,13.516602
880,2.481934
890,9.567627
