epoch,loss,error_rate
1,3.2701955669587,0.6923076923076923
10,2.6606457054139403,0.6538461538461539
20,2.4079592115990693,0.6538461538461539
30,1.8204411118499202,0.5
40,1.6565392656694355,0.46153846153846156
50,1.5048839630415145,0.46153846153846156
60,1.5431734336912957,0.4230769230769231
70,1.4424658472655976,0.4230769230769231
80,1.346393149782732,0.38461538461538464
90,1.358956774798923,0.38461538461538464
100,1.3557413306045196,0.38461538461538464
110,1.3365142347457233,0.34615384615384615
120,1.3179864306406088,0.34615384615384615
