epoch,loss,error_rate
1,4.300806747567604,0.9230769230769231
10,3.0234443696414406,0.7692307692307693
20,3.0263818238040665,0.7692307692307693
30,2.424793662813516,0.8461538461538461
40,2.235002340046449,0.8076923076923077
50,1.933866359434489,0.6923076923076923
60,1.4276003883409154,0.6153846153846154
70,1.502147797127187,0.6153846153846154
80,1.3713181425938057,0.5384615384615384
90,1.0659756783178032,0.7307692307692307
100,1.09393301052968,0.6153846153846154
110,0.9889015266919978,0.6923076923076923
120,0.9239458344248912,0.5769230769230769
130,0.8050263763340104,0.5769230769230769
140,0.9680697831404461,0.5769230769230769
150,0.9315284876777077,0.46153846153846156
160,0.8940395244298918,0.5769230769230769
170,0.6872297793241846,0.5384615384615384
180,0.6140154321367928,0.5
190,0.7281315694958654,0.46153846153846156
200,0.56949260418991,0.4230769230769231
210,0.5703229054099967,0.38461538461538464
220,0.5757451474534552,0.46153846153846156
230,0.4848516915516319,0.38461538461538464
240,0.4563217620482307,0.4230769230769231
250,0.4818774495341076,0.3076923076923077
260,0.42886414527166705,0.34615384615384615
270,0.3301460520788235,0.2692307692307692
280,0.3260577522605361,0.34615384615384615
290,0.49125453470946123,0.38461538461538464
300,0.20063072759458933,0.23076923076923078
310,0.16039012434777344,0.2692307692307692
320,0.218606886117656,0.19230769230769232
330,0.17060128222189253,0.23076923076923078
340,0.10182015417286738,0.23076923076923078
350,0.09598446688842666,0.23076923076923078
360,0.13605308315632136,0.23076923076923078
370,0.06117053921126869,0.23076923076923078
380,0.09495495776421503,0.15384615384615385
390,-0.028497511417566734,0.19230769230769232
400,0.04251496242256225,0.11538461538461539
410,0.10043131638016023,0.19230769230769232
420,0.11518644148203849,0.2692307692307692
430,0.2974298242079141,0.23076923076923078
440,0.44572499226841344,0.34615384615384615
450,0.4639664080704633,0.3076923076923077
460,0.35495772338252385,0.2692307692307692
470,0.5918972693690954,0.38461538461538464
480,0.5267947979301457,0.34615384615384615
490,0.7897103339432499,0.3076923076923077
500,0.522674723503886,0.34615384615384615
